Order_ID,Order_Date,Country,Region,Product,Category,Quantity,Unit_Price,Unit_Cost,Revenue,Cost,Profit,Profit_Margin,Month
102707,2025-01-01,Germany,Europe,Monitor,Electronics,14,322.82,234.87,4519.48,3288.18,1231.2999999999997,0.2724428474072238,2025-01
104038,2025-01-01,Mexico,North America,Monitor,Electronics,14,358.28,230.71,5015.92,3229.94,1785.98,0.35606229764430053,2025-01
103153,2025-01-01,USA,North America,Tablet,Electronics,15,405.59,290.24,6083.85,4353.6,1730.25,0.2844005029709805,2025-01
103617,2025-01-01,South Korea,Asia,Smartwatch,Wearables,11,223.53,127.81,2458.83,1405.91,1052.9199999999998,0.4282199257370375,2025-01
102562,2025-01-01,Mexico,North America,Smartwatch,Wearables,3,201.58,139.86,604.74,419.58,185.16000000000003,0.3061811687667428,2025-01
100813,2025-01-01,France,Europe,Phone,Electronics,10,591.98,467.63,5919.8,4676.3,1243.5,0.21005777222203453,2025-01
102525,2025-01-01,Canada,North America,Smartwatch,Wearables,6,240.38,140.9,1442.28,845.4,596.88,0.41384474581911973,2025-01
103504,2025-01-02,Italy,Europe,Mouse,Accessories,15,49.73,23.38,745.95,350.7,395.25000000000006,0.529861250754072,2025-01
104589,2025-01-02,USA,North America,Smartwatch,Wearables,4,215.08,145.0,860.32,580.0,280.32000000000005,0.3258322484656872,2025-01
102226,2025-01-02,India,Asia,Monitor,Electronics,3,373.45,246.96,1120.35,740.88,379.4699999999999,0.33870665417057166,2025-01
100007,2025-01-02,UK,Europe,Laptop,Electronics,5,997.26,638.07,4986.3,3190.35,1795.9500000000003,0.36017688466397935,2025-01
103275,2025-01-02,Mexico,North America,Smartwatch,Wearables,3,213.22,127.94,639.66,383.82,255.83999999999997,0.3999624800675359,2025-01
102513,2025-01-02,Japan,Asia,Headphones,Accessories,7,128.91,70.71,902.37,494.97,407.4,0.4514777751919944,2025-01
104454,2025-01-03,Canada,North America,Tablet,Electronics,10,412.58,292.54,4125.8,2925.4,1200.4,0.29094963401037377,2025-01
104665,2025-01-03,USA,North America,Tablet,Electronics,6,433.99,317.44,2603.94,1904.64,699.3,0.26855457499020713,2025-01
101077,2025-01-03,Singapore,Asia,Monitor,Electronics,6,318.27,231.83,1909.62,1390.98,518.6399999999999,0.27159330128507236,2025-01
102784,2025-01-03,Canada,North America,Keyboard,Accessories,4,63.55,35.93,254.2,143.72,110.47999999999999,0.434618410700236,2025-01
102651,2025-01-03,France,Europe,Headphones,Accessories,9,119.61,69.25,1076.49,623.25,453.24,0.4210350305158432,2025-01
101459,2025-01-03,Spain,Europe,Mouse,Accessories,1,41.53,24.49,41.53,24.49,17.040000000000003,0.4103058030339514,2025-01
101170,2025-01-03,Netherlands,Europe,Keyboard,Accessories,10,65.63,36.51,656.3,365.1,291.19999999999993,0.44369952765503573,2025-01
104835,2025-01-04,Japan,Asia,Laptop,Electronics,11,917.71,642.59,10094.81,7068.49,3026.3199999999997,0.29978969391202015,2025-01
100023,2025-01-04,Germany,Europe,Smartwatch,Wearables,12,211.65,131.22,2539.8,1574.64,965.1600000000001,0.3800141743444366,2025-01
100871,2025-01-04,Japan,Asia,Tablet,Electronics,15,486.68,313.38,7300.2,4700.7,2599.5,0.3560861346264486,2025-01
100093,2025-01-04,Canada,North America,Tablet,Electronics,3,429.1,290.31,1287.3,870.93,416.37,0.32344441855045447,2025-01
102187,2025-01-04,Australia,Australia & Oceania,Keyboard,Accessories,9,73.51,40.53,661.59,364.77,296.82000000000005,0.4486464426608625,2025-01
101388,2025-01-04,UK,Europe,Phone,Electronics,11,598.28,449.35,6581.08,4942.85,1638.2299999999996,0.2489302667647255,2025-01
104218,2025-01-05,South Korea,Asia,Keyboard,Accessories,6,65.88,38.35,395.28,230.1,165.17999999999998,0.41788099574984816,2025-01
101750,2025-01-05,Italy,Europe,Monitor,Electronics,9,364.37,230.19,3279.33,2071.71,1207.62,0.3682520514861267,2025-01
102138,2025-01-05,USA,North America,Keyboard,Accessories,4,76.82,35.7,307.28,142.8,164.47999999999996,0.5352772715438687,2025-01
104646,2025-01-05,Canada,North America,Smartwatch,Wearables,8,233.51,142.67,1868.08,1141.36,726.72,0.3890197421951951,2025-01
100802,2025-01-05,Italy,Europe,Tablet,Electronics,14,419.44,303.6,5872.16,4250.4,1621.7600000000002,0.2761777608239558,2025-01
104304,2025-01-05,South Korea,Asia,Monitor,Electronics,5,336.9,225.76,1684.5,1128.8,555.7,0.3298901751261502,2025-01
104315,2025-01-05,Australia,Australia & Oceania,Laptop,Electronics,8,855.51,678.42,6844.08,5427.36,1416.7200000000003,0.20699933373075713,2025-01
101088,2025-01-05,France,Europe,Smartwatch,Wearables,5,237.65,130.7,1188.25,653.5,534.75,0.45003155901535874,2025-01
104939,2025-01-05,Mexico,North America,Smartwatch,Wearables,15,209.71,143.92,3145.65,2158.8,986.8499999999999,0.31371894521005195,2025-01
104161,2025-01-05,Singapore,Asia,Headphones,Accessories,5,111.36,66.13,556.8,330.65,226.14999999999998,0.4061602011494253,2025-01
100248,2025-01-05,New Zealand,Australia & Oceania,Monitor,Electronics,12,334.17,225.42,4010.04,2705.04,1305.0,0.3254331627614687,2025-01
104098,2025-01-05,France,Europe,Smartwatch,Wearables,2,204.01,132.91,408.02,265.82,142.2,0.3485123278270673,2025-01
103047,2025-01-05,Japan,Asia,Tablet,Electronics,9,442.92,305.47,3986.28,2749.23,1237.0500000000002,0.3103269213401969,2025-01
100004,2025-01-05,Singapore,Asia,Smartwatch,Wearables,13,214.1,129.22,2783.3,1679.86,1103.4400000000003,0.39645025688930413,2025-01
103379,2025-01-06,Italy,Europe,Keyboard,Accessories,5,72.1,38.8,360.5,194.0,166.5,0.4618585298196949,2025-01
103864,2025-01-06,Germany,Europe,Phone,Electronics,15,678.1,461.34,10171.5,6920.1,3251.3999999999996,0.31965786757115466,2025-01
102810,2025-01-06,Canada,North America,Tablet,Electronics,11,424.18,316.83,4665.98,3485.13,1180.8499999999995,0.25307652411712,2025-01
104334,2025-01-06,Mexico,North America,Headphones,Accessories,4,128.81,70.5,515.24,282.0,233.24,0.4526822451673007,2025-01
101360,2025-01-06,Singapore,Asia,Smartwatch,Wearables,14,233.43,142.52,3268.02,1995.28,1272.74,0.38945294092447413,2025-01
100355,2025-01-06,Italy,Europe,Laptop,Electronics,4,890.84,635.07,3563.36,2540.28,1023.0799999999999,0.28711104126442455,2025-01
100751,2025-01-06,France,Europe,Monitor,Electronics,9,385.53,227.46,3469.77,2047.14,1422.6299999999999,0.41000700334604306,2025-01
103820,2025-01-06,UAE,Asia,Mouse,Accessories,15,45.49,23.41,682.35,351.15,331.20000000000005,0.48538140250604533,2025-01
103677,2025-01-06,Germany,Europe,Monitor,Electronics,8,364.44,231.45,2915.52,1851.6,1063.92,0.36491603556140934,2025-01
103327,2025-01-06,USA,North America,Smartwatch,Wearables,8,199.4,133.5,1595.2,1068.0,527.2,0.3304914744232698,2025-01
101481,2025-01-06,USA,North America,Headphones,Accessories,8,119.95,72.76,959.6,582.08,377.52,0.39341392246769485,2025-01
100722,2025-01-06,Italy,Europe,Headphones,Accessories,5,121.67,68.93,608.35,344.65,263.70000000000005,0.43346757623078824,2025-01
100132,2025-01-07,Germany,Europe,Phone,Electronics,14,692.51,445.46,9695.14,6236.44,3458.7,0.356745750963885,2025-01
102709,2025-01-07,Spain,Europe,Tablet,Electronics,1,447.38,325.52,447.38,325.52,121.86000000000001,0.27238589118869866,2025-01
100228,2025-01-07,South Korea,Asia,Keyboard,Accessories,11,77.73,38.74,855.03,426.14,428.89,0.501608130708864,2025-01
102868,2025-01-07,Mexico,North America,Monitor,Electronics,10,346.83,217.98,3468.3,2179.8,1288.5,0.3715076550471412,2025-01
100766,2025-01-07,South Korea,Asia,Phone,Electronics,14,656.52,437.24,9191.28,6121.36,3069.920000000001,0.33400353378419556,2025-01
100966,2025-01-07,India,Asia,Smartwatch,Wearables,1,241.03,129.42,241.03,129.42,111.61000000000001,0.4630543915695142,2025-01
103625,2025-01-07,France,Europe,Mouse,Accessories,2,48.5,22.83,97.0,45.66,51.34,0.5292783505154639,2025-01
100932,2025-01-07,Canada,North America,Laptop,Electronics,5,952.46,636.38,4762.3,3181.9,1580.4,0.33185645591415913,2025-01
104981,2025-01-07,New Zealand,Australia & Oceania,Monitor,Electronics,9,350.58,224.89,3155.22,2024.01,1131.2099999999998,0.35852016658109415,2025-01
103393,2025-01-07,New Zealand,Australia & Oceania,Tablet,Electronics,15,440.84,291.63,6612.6,4374.45,2238.1500000000005,0.338467471191362,2025-01
102279,2025-01-07,Canada,North America,Smartwatch,Wearables,12,216.97,142.15,2603.64,1705.8,897.8399999999999,0.3448403005023736,2025-01
104593,2025-01-07,South Korea,Asia,Phone,Electronics,8,720.97,450.23,5767.76,3601.84,2165.92,0.3755218663744677,2025-01
103316,2025-01-07,USA,North America,Keyboard,Accessories,9,66.18,35.43,595.62,318.87,276.75,0.46464188576609244,2025-01
102988,2025-01-07,Singapore,Asia,Phone,Electronics,5,641.5,451.56,3207.5,2257.8,949.6999999999998,0.2960872954014029,2025-01
102715,2025-01-08,Netherlands,Europe,Keyboard,Accessories,10,75.39,40.12,753.9,401.2,352.7,0.4678339302294734,2025-01
103062,2025-01-08,Germany,Europe,Keyboard,Accessories,6,71.07,38.69,426.42,232.14,194.28000000000003,0.45560714788236956,2025-01
100259,2025-01-08,South Korea,Asia,Headphones,Accessories,9,133.81,67.27,1204.29,605.43,598.86,0.4972722517001719,2025-01
102882,2025-01-08,New Zealand,Australia & Oceania,Laptop,Electronics,6,818.07,672.78,4908.42,4036.68,871.7400000000002,0.1776009387949687,2025-01
104174,2025-01-08,India,Asia,Smartwatch,Wearables,15,228.32,140.61,3424.8,2109.15,1315.65,0.38415381920112124,2025-01
104244,2025-01-08,UAE,Asia,Keyboard,Accessories,6,64.95,37.57,389.7,225.42,164.28,0.42155504234026175,2025-01
103413,2025-01-08,Germany,Europe,Phone,Electronics,6,632.4,464.03,3794.4,2784.18,1010.2200000000003,0.2662397216951297,2025-01
101622,2025-01-08,UK,Europe,Phone,Electronics,2,676.57,449.67,1353.14,899.34,453.80000000000007,0.33536810677387413,2025-01
